issues foot,'issu' <-> 'foot'
issues in my foot,'issu' <3> 'foot'
issues in foot,'issu' <2> 'foot'
foot issues,'foot' <-> 'issu'
foot is issues,'foot' <2> 'issu'
foot is in issues,'foot' <3> 'issu'
foot is a little issues,'foot' <3> 'littl' <-> 'issu'
puffing foot,'puf' <-> 'foot'
puffing in my foot,'puf' <3> 'foot'
puffing in foot,'puf' <2> 'foot'
foot puffing,'foot' <-> 'puf'
foot is puffing,'foot' <2> 'puf'
foot is in puffing,'foot' <3> 'puf'
foot is a little puffing,'foot' <3> 'littl' <-> 'puf'
inflamed foot,'inflam' <-> 'foot'
inflamed in my foot,'inflam' <3> 'foot'
inflamed in foot,'inflam' <2> 'foot'
foot inflamed,'foot' <-> 'inflam'
foot is inflamed,'foot' <2> 'inflam'
foot is in inflamed,'foot' <3> 'inflam'
foot is a little inflamed,'foot' <3> 'littl' <-> 'inflam'
hurts foot,'hurt' <-> 'foot'
hurts in my foot,'hurt' <3> 'foot'
hurts in foot,'hurt' <2> 'foot'
foot hurts,'foot' <-> 'hurt'
foot is hurts,'foot' <2> 'hurt'
foot is in hurts,'foot' <3> 'hurt'
foot is a little hurts,'foot' <3> 'littl' <-> 'hurt'
cramps foot,'cramp' <-> 'foot'
cramps in my foot,'cramp' <3> 'foot'
cramps in foot,'cramp' <2> 'foot'
foot cramps,'foot' <-> 'cramp'
foot is cramps,'foot' <2> 'cramp'
foot is in cramps,'foot' <3> 'cramp'
foot is a little cramps,'foot' <3> 'littl' <-> 'cramp'
shaking foot,'shake' <-> 'foot'
shaking in my foot,'shake' <3> 'foot'
shaking in foot,'shake' <2> 'foot'
foot shaking,'foot' <-> 'shake'
foot is shaking,'foot' <2> 'shake'
foot is in shaking,'foot' <3> 'shake'
foot is a little shaking,'foot' <3> 'littl' <-> 'shake'
hypersensitivity foot,'hypersensit' <-> 'foot'
hypersensitivity in my foot,'hypersensit' <3> 'foot'
hypersensitivity in foot,'hypersensit' <2> 'foot'
foot hypersensitivity,'foot' <-> 'hypersensit'
foot is hypersensitivity,'foot' <2> 'hypersensit'
foot is in hypersensitivity,'foot' <3> 'hypersensit'
foot is a little hypersensitivity,'foot' <3> 'littl' <-> 'hypersensit'
trauma foot,'trauma' <-> 'foot'
trauma in my foot,'trauma' <3> 'foot'
trauma in foot,'trauma' <2> 'foot'
foot trauma,'foot' <-> 'trauma'
